TOKEN,PDATE,PDTIME,MCIP
4090,2024-04-01,2024-04-01 16:29:00,CGCA222560183
11455,2024-04-01,2024-04-01 16:31:00,CGCA222560175
11159,2024-04-01,2024-04-01 16:32:00,CGCA201262943
11176,2024-04-01,2024-04-01 16:33:00,CGCA201262943
11157,2024-04-01,2024-04-01 16:33:00,CGCA201262943
11031,2024-04-01,2024-04-01 16:36:00,CGCA222560155
2,2024-04-01,2024-04-01 16:37:00,CGCA201262943
11021,2024-04-01,2024-04-01 16:42:00,CGCA222560175
11462,2024-04-01,2024-04-01 16:43:00,CGCA222560155
11537,2024-04-01,2024-04-01 16:47:00,CGCA201262943
8188,2024-04-01,2024-04-01 16:49:00,CGCA222560176
8191,2024-04-01,2024-04-01 16:50:00,CGCA222560176
8255,2024-04-01,2024-04-01 16:51:00,CGCA222560176
11452,2024-04-01,2024-04-01 16:53:00,CGCA222560023
11497,2024-04-01,2024-04-01 16:54:00,CGCA222560023
11177,2024-04-01,2024-04-01 16:54:00,CGCA222560023
11015,2024-04-01,2024-04-01 16:57:00,CGCA222560175
11002,2024-04-01,2024-04-01 16:58:00,CGCA222560175
11031,2024-04-01,2024-04-01 16:59:00,CGCA222560155
4088,2024-04-01,2024-04-01 16:59:00,CGCA222560183
11143,2024-04-01,2024-04-01 17:00:00,CGCA222560155
11502,2024-04-01,2024-04-01 17:00:00,CGCA222560155
11424,2024-04-01,2024-04-01 17:00:00,CGCA222560155
8157,2024-04-01,2024-04-01 17:00:00,CGCA222560176
11275,2024-04-01,2024-04-01 17:00:00,CGCA222560155
4046,2024-04-01,2024-04-01 17:01:00,CGCA222560183
6083,2024-04-01,2024-04-01 17:01:00,CGCA222560176
11469,2024-04-01,2024-04-01 17:01:00,CGCA222560155
8193,2024-04-01,2024-04-01 17:01:00,CGCA222560176
11375,2024-04-01,2024-04-01 17:02:00,CGCA222560155
11024,2024-04-01,2024-04-01 17:02:00,CGCA222560155
11087,2024-04-01,2024-04-01 17:02:00,CGCA222560155
4055,2024-04-01,2024-04-01 17:03:00,CGCA222560183
6009,2024-04-01,2024-04-01 17:04:00,CGCA222560176
11156,2024-04-01,2024-04-01 17:05:00,CGCA222560155
11028,2024-04-01,2024-04-01 17:06:00,CGCA222560023
2051,2024-04-01,2024-04-01 17:06:00,CGCA222560176
11008,2024-04-01,2024-04-01 17:06:00,CGCA201262943
6095,2024-04-01,2024-04-01 17:06:00,CGCA222560176
11013,2024-04-01,2024-04-01 17:06:00,CGCA222560175
2019,2024-04-01,2024-04-01 17:07:00,CGCA222560183
8268,2024-04-01,2024-04-01 17:07:00,CGCA222560176
2012,2024-04-01,2024-04-01 17:07:00,CGCA222560176
8218,2024-04-01,2024-04-01 17:07:00,CGCA222560176
2046,2024-04-01,2024-04-01 17:07:00,CGCA222560176
11507,2024-04-01,2024-04-01 17:08:00,CGCA222560023
2003,2024-04-01,2024-04-01 17:08:00,CGCA222560176
134,2024-04-01,2024-04-01 17:08:00,CGCA222560183
207,2024-04-01,2024-04-01 17:08:00,CGCA222560183
8200,2024-04-01,2024-04-01 17:08:00,CGCA222560183
2022,2024-04-01,2024-04-01 17:09:00,CGCA222560176
8127,2024-04-01,2024-04-01 17:09:00,CGCA222560176
2005,2024-04-01,2024-04-01 17:10:00,CGCA222560183
11076,2024-04-01,2024-04-01 17:10:00,CGCA222560175
